4

-100,-100
100,-100
100,100
-100,100

//

0,0
10,0
10,10
0,10

2,2
3,2
3,3
2,3

4,1
5,1
5,2
4,2

5,6
6,6
6,7
5,7

7,4
9,4
9,5
7,5

0,8
3,8
3,10
0,10

7,7
8,7
8,9
7,9

/

5,8
1,0
5,8
1,0

//

-12,0
-2,0
-2,10
-12,10

-10,4
-8,4
-8,6
-10,6

-6,4
-4,4
-4,6
-6,6

-8,2
-6,2
-6,8
-8,8

-12,0
-10,0
-10,2
-12,2

-4,8
-2,8
-2,10
-4,10

/

-3,3
0,1
-3,3
0,1

//

-12,-12
-2,-12
-2,-2
-12,-2

-10,-9
-8,-9
-8,-5
-10,-5

-6,-9
-4,-9
-4,-5
-6,-5

/

-7,-7
0,-1
-7,-7
0,-1

//

0,-12
10,-12
10,-2
0,-2

0,-6
8,-6
8,-4
0,-4

6,-10
8,-10
8,-6
6,-6

0,-12
3,-12
3,-9
0,-9


/

5,-8
0,-1
5,-8
0,-1

//

